Trial,MSE
1,14.212675075325429
2,7.710588589850263
3,9.267453624971408
4,1.0299282015105244
5,4.4018036629960955
6,1.7501967917792545
7,0.9534375842013796
8,1.1280821753395391
9,2.0959325628664933
10,0.14493017754409832
11,1.0765256323768633
12,0.7252162983935844
13,0.2450627576020265
14,9.319954436741622
15,1.063285529367268
16,2.271387107545998
17,0.44840937945273734
18,1.2260429578006404
19,5.0095397827006325
20,0.10075160462267914
21,2.32251469031781
22,1.916158678097192
23,2.7568592265563585
24,1.0595976216053062
25,0.4268614709167694
26,3.5545771785188913
27,1.1029035203057378
