Base Alpha,Gamma,Uncertainty (a),Baseline (b),Beta (Dynamic α),λ_tone,λ_shock,λ_omission,λ_tone_onset,Trial
0.17147114725735438,0.998670520157369,0.0,0.0,0.002847552795872222,0.007797527518047858,0.011885545076707846,-0.8,0.0,1
0.5650948283537125,1.0,0.0,0.0,0.022550603402962135,0.06382161233643932,0.1629928090244632,-0.8,0.0,2
0.4115437395283511,0.9990177655086238,0.02037287627108636,0.0,0.014386727052315348,0.02478696463183671,0.05526342185541717,-0.8,0.011350170037785304,3
0.058611927058740354,0.9985838925075466,0.1,1.0,1.0,1.0,0.8,0.0,2.0,4
0.01,1.0,0.0,0.0,0.0,1.0,0.8,0.0,2.0,5
0.1806788445560045,0.9991498781120403,0.09998747866604002,1.0,0.012235352705609635,0.12091041235148885,0.4676235665970322,-0.8,9.295443220781369e-07,6
0.010150404281975197,0.8336567942662513,0.0,1.0,4.907978325399009e-06,0.0,0.8,-2.0,0.0,7
0.029959464958565673,1.0,0.0999532149547194,0.0,0.00027365977700095505,1.1746417138301574e-09,0.8,-1.9999999998780005,1.0601500309795482e-10,8
0.01,1.0,0.0,0.0,0.0,1.0,0.8,0.0,2.0,9
0.05882336243659719,0.998925427170499,0.09999997777979919,0.0,0.0015835654717180068,0.9999999978409254,0.8,-2.1590745604919327e-09,2.0,10
0.6218534761246094,0.9990435159320259,0.041789416868679236,0.0,0.005896885387917852,0.07105384470753272,0.0,-0.8,0.3985386741300529,11
0.04279517848425649,0.9766333657724288,0.0,1.0,1.7640632726157378e-05,0.0003456913335754062,0.8,-1.9989666416732956,0.0,12
0.1404682734470222,0.9989249101068103,0.1,1.0,0.0016012620898962445,1.0,0.8,0.0,2.0,13
0.031373911680623534,1.0,0.09852752422673502,1.0,0.06339384240316508,0.10734119176315478,0.8,-1.2708221544388245,0.3888726903653513,14
0.05985270721801359,0.9990420394280196,0.1,0.0,0.0005034889109787568,0.9999999998522621,0.8,-1.4773798873138116e-10,2.0,15
0.3624372143620878,0.9989582961131617,0.039725583673776856,0.0,0.9999999978808415,0.0,0.0,-0.8,2.0,16
0.06804140356197948,0.9990576037033959,0.09941290905364343,0.0,0.0006986549579735134,0.999999785110857,0.8,-2.1488911466718258e-07,2.0,17
0.07487676587305088,0.9984179961505544,0.02299598362974663,0.0,7.50313964524432e-08,0.0,0.003936449895177936,-0.8,0.0009412028268591526,18
0.13412751621886046,1.0,0.004430948931124009,0.0,0.004241866986350956,0.008003399724033857,0.02594402501534006,-0.8,0.0,19
0.056620797233408855,0.9984311884289455,0.03448688965817281,0.25457636039521586,0.058062088930426026,0.11658654743961361,0.4299211899699145,-0.8,0.4175361660643474,20
0.010941690840575103,0.8928316764276085,0.0,1.0,8.807867361156621e-06,1.267214455703989e-10,0.8,-1.999999999011936,0.0,21
0.016435670838676815,0.9990801420116404,0.09999999999618243,0.0,0.00010678489872032453,0.9999999999944833,0.8,-5.516690348415097e-12,2.0,22
0.08858122605373862,0.9990630110193829,0.09999997109688957,0.0,0.0012870030876726904,0.9999999971364815,0.8,-2.863519210635672e-09,2.0,23
0.14572573216323706,0.9991073127819151,0.05103912867654482,0.0,0.0,0.0,0.0,-0.8,2.0,24
0.0405401203501317,0.998983408253595,0.09999946440042466,0.0,0.0001257047005886726,0.9999999541717459,0.8,-4.5827968702443055e-08,2.0,25
0.01,1.0,0.0,0.0,0.0,1.0,0.8,0.0,2.0,26
0.01,1.0,0.0,0.0,0.0,1.0,0.8,0.0,2.0,27
