id,condition,day,csm,csm_laser,csp,csp_laser,csp_shock,delta_freeze_csp,d_freeze_csm,tone_discrim,tone_discrim_laser
ZZ019-training,jaws,0,0.383532801,,0.041223404,,0.557014628,,,,
ZZ020-training,jaws,0,0.200576241,,0.013297872,,0.376828457,,,,
ZZ021-training,jaws,0,0.336546986,,0.079454787,,0.44240359,,,,
ZZ022-training,jaws,0,0.500998668,,0.050864362,,0.571642287,,,,
ZZ025-training,jaws,0,0.509862589,,0.089428191,,0.551363032,,,,
ZZ026-training,jaws,0,0.368397692,,0.081836327,,0.482202262,,,,
ZZ038-training,control,0,0.63448735,,0.03224734,,0.55418883,,,,
ZZ039-training,control,0,0.435530404,,0,,0.384807181,,,,
ZZ040-training,control,0,0.358394322,,0.139960106,,0.44431516,,,,
ZZ041-training,control,0,0.232356858,,0,,0.397523271,,,,
ZZ042-training,control,0,0.439857967,,0.077460106,,0.444980053,,,,
ZZ043-training,control,0,0.41888593,,0.183510638,,0.547623005,,,,
ZZ019-1d-sameCtxt,jaws,1,0.600664452,0.561904762,0.729055851,0.766954787,,0.037898936,-0.03875969,0.096555192,0.154305265
ZZ020-1d-sameCtxt,jaws,1,0.585992908,0.547650709,0.458776596,0.636303191,,0.177526596,-0.038342199,-0.121764955,0.074878323
ZZ021-1d-sameCtxt,jaws,1,0.490691489,0.532579787,0.666389628,0.692985372,,0.026595745,0.041888298,0.151845999,0.130882951
ZZ025-1d-sameCntxt,jaws,1,0.599955674,0.594193262,0.815824468,0.78224734,,-0.033577128,-0.005762411,0.152473388,0.13662346
ZZ038-1d-sameContext,control,1,0.94451842,0.694629383,0.939747004,0.913781625,,-0.025965379,-0.249889037,-0.002532242,0.136253881
ZZ039-1d-sameContext,control,1,0.700621394,0.715268531,0.744007989,0.625,,-0.119007989,0.014647137,0.030033029,-0.067351078
ZZ040-1d-sameContext,control,1,0.51087439,0.793164669,0.580892144,0.604194407,,0.023302264,0.28229028,0.064132534,-0.13523386
ZZ041-1d-sameContext,control,1,0.647802929,0.572791833,0.707223702,0.654460719,,-0.052762983,-0.075011096,0.043852107,0.066546112
ZZ019-2d-altCntxt-redo4,jaws,2,0.390146471,0.513981358,0.59936751,0.472536618,,-0.126830892,0.123834887,0.211438183,-0.042011135
ZZ020-2d-altCntxt-redo4,jaws,2,0.207723036,0.130492676,0.25582169,0.345642049,,0.089820359,-0.07723036,0.103762704,0.451866586
ZZ021-2d-altCntxt-redo4,jaws,2,0.077452286,0.29671549,0.544274301,0.427762983,,-0.116511318,0.219263205,0.75084776,0.180885281
ZZ025-2d-altCntxt-redo4,jaws,2,0.167998225,0.124722592,0.538948069,0.536118509,,-0.002829561,-0.043275632,0.524721394,0.622533792
ZZ038-2dRet-AltContxt,control,2,0.897248114,0.518197958,0.76930759,0.786451398,,0.017143808,-0.379050155,-0.076769425,0.205613438
ZZ039-2dRet-AltContxt,control,2,0.582778518,0.371948513,0.600865513,0.542942743,,-0.05792277,-0.210830004,0.015280772,0.186901152
ZZ040-2dRet-AltContxt,control,2,0.378384376,0.2605415,0.530625832,0.57057257,,0.039946738,-0.117842876,0.167480469,0.373030708
ZZ041-2dRet-AltContxt,control,2,0.126719929,0.149134487,0.399633822,0.391311585,,-0.008322237,0.022414558,0.518498999,0.448105944
ZZ012_interleavedCSpCSm,jaws,14,0.621594684,0.275747508,0.347406915,0.122839096,,-0.224567819,-0.345847176,-0.282959047,-0.383626572
ZZ013_interleavedCSpCSm,jaws,14,0.048204787,0.488364362,0.473404255,0.341589096,,-0.13181516,0.440159574,0.815168897,-0.176847587
ZZ014_interleavedCSpCSm,jaws,14,0.836103723,0.564162234,0.824634309,0.527593085,,-0.297041223,-0.271941489,-0.006906216,-0.033495737
ZZ016_interleavedCSpCSm,control,14,0.153257979,0.248670213,0.113772455,0.066533599,,-0.047238856,0.095412234,-0.147869002,-0.577837597
ZZ017_interleavedCSpCSm,control,14,0.708776596,0.898271277,0.602892287,0.738031915,,0.135139628,0.189494681,-0.080724876,-0.097927672
