,,,total freezing,outside tone freezing
ZZ038-training,control,0,0.426694095,0.382145795
ZZ039-training,control,0,0.319195414,0.303278689
ZZ040-training,control,0,0.329361553,0.307949657
ZZ041-training,control,0,0.243347697,0.222952518
ZZ042-training,control,0,0.376824191,0.366510861
ZZ043-training,control,0,0.407043603,0.386668838
ZZ019-training,jaws,0,0.395001001,0.381000143
ZZ020-training,jaws,0,0.299154984,0.312991357
ZZ021-training,jaws,0,0.295155005,0.265886909
ZZ022-training,jaws,0,0.500086108,0.510651354
ZZ025-training,jaws,0,0.452951069,0.441071218
ZZ026-training,jaws,0,0.296929099,0.249299
ZZ038-1d-sameContext,control,1,0.724597568,0.660922993
ZZ039-1d-sameContext,control,1,0.462303723,0.367375501
ZZ040-1d-sameContext,control,1,0.468052006,0.392898844
ZZ041-1d-sameContext,control,1,0.432036374,0.332233128
ZZ019-1d-sameCtxt,jaws,1,0.504844961,0.418524708
ZZ020-1d-sameCtxt,jaws,1,0.500106575,0.476326622
ZZ021-1d-sameCtxt,jaws,1,0.411685208,0.327876843
ZZ025-1d-sameCntxt,jaws,1,0.517104319,0.432516347
ZZ038-2dRet-AltContxt,control,2,0.52105055,0.425212043
ZZ039-2dRet-AltContxt,control,2,0.273982286,0.168097967
ZZ040-2dRet-AltContxt,control,2,0.23751461,0.131083574
ZZ041-2dRet-AltContxt,control,2,0.162830102,0.105031249
ZZ019-2d-altCntxt-redo4,jaws,2,0.289479678,0.190743839
ZZ020-2d-altCntxt-redo4,jaws,2,0.229325389,0.221504258
ZZ021-2d-altCntxt-redo4,jaws,2,0.203183862,0.130568699
ZZ025-2d-altCntxt-redo4,jaws,2,0.188071054,0.100492498
ZZ012_interleavedCSpCSm,jaws,14,0.193321033,0.136881709
ZZ013_interleavedCSpCSm,jaws,14,0.215156618,0.151432304
ZZ014_interleavedCSpCSm,jaws,14,0.38568778,0.253347748
ZZ016_interleavedCSpCSm,control,14,0.090318208,0.073517126
ZZ017_interleavedCSpCSm,control,14,0.546764933,0.471499119
