Day1,Day2,Day3,Day4
"","","",""
"","","",""
"","","CSp_onset_suppressed",""
"","","",""
"","","",""
"CSp_excited,tone_nonfreeze_excited","","CSp_suppressed,CSp_onset_suppressed,nontone_freeze_suppressed,tone_nonfreeze_suppressed",""
"","CSp_offset_suppressed,freeze_excited,nontone_freeze_excited,post_shock_suppressed,shock_suppressed","",""
"","CSp_offset_excited,freeze_suppressed,nontone_freeze_suppressed,post_shock_excited,shock_excited","CSp_suppressed,CSp_offset_suppressed,tone_nonfreeze_suppressed","nontone_freeze_suppressed"
"","shock_suppressed","","CSp_suppressed,CSp_offset_suppressed,tone_nonfreeze_suppressed"
"","CSp_offset_excited,shock_excited","",""
"","CSp_offset_suppressed,shock_suppressed","",""
"","tone_freeze_excited","",""
"","","",""
"","CSp_offset_excited,shock_excited","","CSp_suppressed,tone_nonfreeze_suppressed"
"","nontone_freeze_excited","CSp_excited,tone_nonfreeze_excited",""
"CSp_onset_suppressed","freeze_suppressed,nontone_freeze_suppressed","CSp_onset_suppressed",""
"","CSp_offset_excited,freeze_suppressed,nontone_freeze_suppressed,shock_excited","",""
"CSp_onset_excited","","",""
"","CSp_offset_excited,post_shock_excited,shock_excited","",""
"","post_shock_suppressed","",""
"","CSp_offset_suppressed,freeze_excited,nontone_freeze_excited,post_shock_suppressed","",""
"","","",""
"","","",""
"tone_nonfreeze_excited","","",""
"","","",""
"","","",""
"CSp_excited,tone_nonfreeze_excited","","",""
"","","",""
"freeze_suppressed,nontone_freeze_suppressed","","",""
"","","CSp_suppressed,CSp_onset_suppressed,tone_nonfreeze_suppressed",""
"","","CSp_suppressed,CSp_offset_suppressed,freeze_suppressed,nontone_freeze_suppressed,tone_nonfreeze_suppressed",""
"","","",""
"","","CSp_onset_suppressed",""
"","","","CSp_excited,tone_nonfreeze_excited"
"","","","CSp_offset_excited"
"","","","CSp_offset_suppressed,freeze_suppressed"
"","","","CSp_excited,tone_nonfreeze_excited"
"","","","CSp_offset_suppressed,freeze_suppressed,nontone_freeze_suppressed"
"","","","CSp_excited,CSp_offset_excited,tone_nonfreeze_excited"
"","","","CSp_suppressed,CSp_offset_suppressed,freeze_suppressed,tone_freeze_suppressed"
